,Date,Title,Artist,Image,PeakPos,LastPos,Weeks,Rank,IsNew
278,2016-02-09,Antidote,Travis Scott,,15,21,12,29,False
279,2016-02-09,Stand By You,Rachel Platten,,27,27,7,30,False
280,2016-02-09,Dibs,Kelsea Ballerini,,31,43,11,31,False
281,2016-02-09,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,,32,35,4,32,False
282,2016-02-09,Don't,Bryson Tiller,,31,31,8,33,False
283,2016-02-09,Break On Me.,Keith Urban,,34,38,4,34,False
284,2016-02-09,Adventure Of A Lifetime,Coldplay,,35,41,7,35,False
285,2016-02-09,I Love This Life,LOCASH,,19,25,12,36,False
286,2016-02-09,Hands To Myself,Selena Gomez,,37,0,1,37,True
287,2016-02-09,Heartbeat,Carrie Underwood,,38,47,2,38,False
288,2016-02-09,Down In The DM,Yo Gotti Featuring Nicki Minaj,,36,36,5,39,False
289,2016-02-09,We Went,Randy Houser,,40,46,5,40,False
290,2016-02-09,"Me, Myself & I",G-Eazy x Bebe Rexha,,41,0,1,41,True
291,2016-02-09,Back To Sleep,Chris Brown,,42,44,2,42,False
292,2016-02-09,One Call Away,Charlie Puth,,43,0,1,43,True
293,2016-02-09,Can't Feel My Face,The Weeknd,,1,37,34,44,False
294,2016-02-09,What Do You Mean?,Justin Bieber,,3,29,22,45,False
295,2016-02-09,Lean On,Major Lazer & DJ Snake Featuring MO,,2,45,36,46,False
296,2016-02-09,Beautiful Drug,Zac Brown Band,,47,0,1,47,True
297,2016-02-09,Again,Fetty Wap,,46,50,7,48,False
298,2016-02-09,No Role Modelz,J. Cole,,32,48,11,49,False
299,2016-02-09,Country Nation,Brad Paisley,,48,0,5,50,False
300,2016-02-16,Sorry,Justin Bieber,,1,1,15,1,False
301,2016-02-16,Love Yourself,Justin Bieber,,2,3,8,2,False
302,2016-02-16,Stressed Out,twenty one pilots,,3,4,10,3,False
303,2016-02-16,Hello,Adele,,1,2,16,4,False
304,2016-02-16,In The Night,The Weeknd,,5,6,12,5,False
305,2016-02-16,Here,Alessia Cara,,3,5,19,6,False
306,2016-02-16,Same Old Love,Selena Gomez,,3,7,17,7,False
307,2016-02-16,Stitches,Shawn Mendes,,3,8,24,8,False
308,2016-02-16,Roses,The Chainsmokers Featuring Rozes,,9,10,9,9,False
309,2016-02-16,When We Were Young,Adele,,10,14,7,10,False
310,2016-02-16,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,,3,9,19,11,False
311,2016-02-16,Wildest Dreams,Taylor Swift,,1,11,23,12,False
312,2016-02-16,Ex's & Oh's,Elle King,,5,15,25,13,False
313,2016-02-16,Hotline Bling,Drake,,2,13,21,14,False
314,2016-02-16,On My Mind,Ellie Goulding,,8,12,19,15,False
315,2016-02-16,My House,Flo Rida,,16,20,4,16,False
316,2016-02-16,Home Alone Tonight,Luke Bryan Featuring Karen Fairchild,,16,16,9,17,False
317,2016-02-16,Hide Away,Daya,,18,21,9,18,False
318,2016-02-16,Out Of The Woods,Taylor Swift,,17,17,4,19,False
319,2016-02-16,Work,Rihanna Featuring Drake,,20,27,2,20,False
320,2016-02-16,Backroad Song,Granger Smith,,21,28,10,21,False
321,2016-02-16,Cake By The Ocean,DNCE,,22,26,4,22,False
322,2016-02-16,Say It,Tory Lanez,,22,22,12,23,False
323,2016-02-16,Die A Happy Man,Thomas Rhett,,14,18,14,24,False
324,2016-02-16,Stand By You,Rachel Platten,,25,30,8,25,False
325,2016-02-16,Break Up In A Small Town,Sam Hunt,,19,19,12,26,False
326,2016-02-16,The Hills,The Weeknd,,1,24,26,27,False
327,2016-02-16,Hands To Myself,Selena Gomez,,28,37,2,28,False
328,2016-02-16,Dibs,Kelsea Ballerini,,29,31,12,29,False
329,2016-02-16,"Me, Myself & I",G-Eazy x Bebe Rexha,,30,41,2,30,False
330,2016-02-16,Jumpman,Drake & Future,,17,23,11,31,False
331,2016-02-16,Don't,Bryson Tiller,,31,33,9,32,False
332,2016-02-16,Heartbeat,Carrie Underwood,,33,38,3,33,False
333,2016-02-16,Break On Me.,Keith Urban,,34,34,5,34,False
334,2016-02-16,One Call Away,Charlie Puth,,35,43,2,35,False
335,2016-02-16,Adventure Of A Lifetime,Coldplay,,35,35,8,36,False
336,2016-02-16,We Went,Randy Houser,,37,40,6,37,False
337,2016-02-16,Antidote,Travis Scott,,15,29,13,38,False
338,2016-02-16,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,,32,32,5,39,False
339,2016-02-16,Down In The DM,Yo Gotti Featuring Nicki Minaj,,36,39,6,40,False
340,2016-02-16,Stay A Little Longer,Brothers Osborne,,17,25,16,41,False
341,2016-02-16,Beautiful Drug,Zac Brown Band,,42,47,2,42,False
342,2016-02-16,Back To Sleep,Chris Brown,,42,42,3,43,False
343,2016-02-16,I Love This Life,LOCASH,,19,36,13,44,False
344,2016-02-16,Lean On,Major Lazer & DJ Snake Featuring MO,,2,46,37,45,False
345,2016-02-16,Again,Fetty Wap,,46,48,8,46,False
346,2016-02-16,Country Nation,Brad Paisley,,47,50,6,47,False
347,2016-02-16,Confession,Florida Georgia Line,,48,0,1,48,True
348,2016-02-16,Can't Feel My Face,The Weeknd,,1,44,35,49,False
349,2016-02-16,Drunk On Your Love,Brett Eldredge,,50,0,1,50,True
350,2016-02-23,Love Yourself,Justin Bieber,,1,2,9,1,False
351,2016-02-23,Stressed Out,twenty one pilots,,2,3,11,2,False
352,2016-02-23,Sorry,Justin Bieber,,1,1,16,3,False
353,2016-02-23,Hello,Adele,,1,4,17,4,False
354,2016-02-23,In The Night,The Weeknd,,5,5,13,5,False
355,2016-02-23,Stitches,Shawn Mendes,,3,8,25,6,False
356,2016-02-23,Same Old Love,Selena Gomez,,3,7,18,7,False
357,2016-02-23,Roses,The Chainsmokers Featuring Rozes,,8,9,10,8,False
358,2016-02-23,Here,Alessia Cara,,3,6,20,9,False
359,2016-02-23,When We Were Young,Adele,,10,10,8,10,False
360,2016-02-23,My House,Flo Rida,,11,16,5,11,False
361,2016-02-23,Wildest Dreams,Taylor Swift,,1,12,24,12,False
362,2016-02-23,Work,Rihanna Featuring Drake,,13,20,3,13,False
363,2016-02-23,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,,3,11,20,14,False
364,2016-02-23,Ex's & Oh's,Elle King,,5,13,26,15,False
365,2016-02-23,Hide Away,Daya,,16,18,10,16,False
366,2016-02-23,Cake By The Ocean,DNCE,,17,22,5,17,False
367,2016-02-23,Backroad Song,Granger Smith,,18,21,11,18,False
368,2016-02-23,Home Alone Tonight,Luke Bryan Featuring Karen Fairchild,,16,17,10,19,False
369,2016-02-23,Hotline Bling,Drake,,2,14,22,20,False
370,2016-02-23,On My Mind,Ellie Goulding,,8,15,20,21,False
371,2016-02-23,Hands To Myself,Selena Gomez,,22,28,3,22,False
372,2016-02-23,Out Of The Woods,Taylor Swift,,17,19,5,23,False
373,2016-02-23,"Me, Myself & I",G-Eazy x Bebe Rexha,,24,30,3,24,False
374,2016-02-23,Stand By You,Rachel Platten,,25,25,9,25,False
375,2016-02-23,Say It,Tory Lanez,,22,23,13,26,False
376,2016-02-23,One Call Away,Charlie Puth,,27,35,3,27,False
377,2016-02-23,Dibs,Kelsea Ballerini,,28,29,13,28,False
378,2016-02-23,Die A Happy Man,Thomas Rhett,,14,24,15,29,False
379,2016-02-23,Heartbeat,Carrie Underwood,,30,33,4,30,False
380,2016-02-23,Break On Me.,Keith Urban,,31,34,6,31,False
381,2016-02-23,We Went,Randy Houser,,32,37,7,32,False
382,2016-02-23,The Hills,The Weeknd,,1,27,27,33,False
383,2016-02-23,Adventure Of A Lifetime,Coldplay,,34,36,9,34,False
384,2016-02-23,Don't,Bryson Tiller,,31,32,10,35,False
